content,sentiment
not a very good day at the house,1
tommcfly i saw you on tues and last niiiighht lt3 so amazzzing didnt even notice you forgetting the wordddss,2
i dont even understand the intro to this book ,3
happy mothers day mommy and grandma haha  ily,0
quotoh i got so fucked up last nightquot but ur 15 tho  where the hell are ur parents  they probably only 25 ,3
this tea fucking sucks where the fuck is my coffee cup caffeinewithdrawl,3
nerdindian take that back i am insulted,3
and even though they got good reviews and are about important things ,3
saw the blink show from the tmobile party im speachless,0
moveout should be fun thank you vt students for working to make vt the best that it can possibly be,2
the conversation with katie was vexing,3
little girls and their shallowness annoy me on the good side i didnt straighten my hair at all today and it looks some what decent,2
oooh babies i wanna hug you all,0
maddsie thanks none close to me,3
just watched slumdog millionaire  its soo goood i love it  but its sad,1
ryan farted and it sounded like a motorcycle drove by ewww ,3
azamann hah eeee although understandable i need a new picture for this thing but im all sweaty,1
 does just make me throw up a lil in my mouth ,3
says good evening  ,2
missxmarisa haha yeah i think its a bit of both,2
my son feels furious,3
oil is changed  and i am filthy    but its an accomplished filthy,3
just finnished my double cheeseburger it was good  ready to watch the spanish f1,2
my bum hurts,0
just a couple thoughtswas bored this morning,1
cant concentrate  need a booster to woork,0
3wordsaftersex my turn yet,0
johncmayer that widewale courduroyll get ya everytime,2
my knees are sore after physio,1
come on knight its been well over 4 hours,0
my ipod came back to me after visits to cali china and alaskabut its at home and im  work,1
i have a degreebitches moving t o dallas in a few hours,3
life is so boring without you,1
it is going to be a beautiful day,2
106jackfm im not thats why im sulking  not free all day,0
hello bank holiday monday  hello revision ,0
i have a yucky burn,0
stephanie made me feel enraged,3
msdivineknight wish i could  want to stay and play with u guys and enjoy a block party for once,1
bbcbreakfast i suspect lots of things are causing but nice try,3
ok i might be a lil slow what does quotffquot mean  ,0
hello everybody  im back on the job back from the children camp someone had to look after my sis pupils and totally exhausted,0
i was too sleepy earlier and i didnt get to see matt,1
is hungry with a sub,0
tummy ache,1
off to see the doc in a bit to get the knee checked out,0
daaaaang up in 3d sold out,0
i just want  to sleep,0
oliviamunn san diego move down here although whether right now is pretty cold im waiting for the suck so i can go surf  i love you,2
saytri lol exams i didnt go to mcast or other school i finished form 5 and thats it soo disappointed in myself,1
is going to be in cincinnati all day sundayvisitin with an old friendbrother from korea then a date with someone special,2
funeral ceremonygloomy friday,1
looks can be deceiving,0
kasey79 i got it,0
21 days away from being evicted,1
getting ready for summy yummy cocoa crispies,2
carolinekan haha all because of chocolate always knew your heart was in your stomach wait till you try the truffles,0
happy mothers day to my mom and every mom everywhere  off for a stroll at the beaches laterhopefully,2
danielleadalis the ending is te funniest youll see  jonasbrothers you know paranoif is always stuck in my head love it,2
selenagomez awwww  were gonna miss you,1
no want work,0
dizzy  i wanna lie die but those calories arent gonna just balk because i ignore them,0
frank feels annoyed,3
i made andrew feel annoyed,3
my wife told us all about the recent annoying events,3
i need to see betsycon7now someone buy me a plane ticket please,2
ashleypeaces left  so sad waiting for mom to come home want to have papa johns for dinner,1
shaddybabybitch hello there,0
buenos dias mundo de twitter  eating bfast and watching quotsex on firequot video b4 i go to work ,2
is chatting to one of her besties,0
danefiori the thought of splitting the estate is depressing of course kidding i dont like the thought of my parents dying,1
lccsweetme haha thats way cool good morning,2
diesel26 i wish you were here to take care of me,1
backstreetboys   why u have to bring it to you 247 like the backstreetteam,0
